"No","Question","Answer","Choice1","Choice2","Choice3"
"1","あいうえ〇。
〇に入るのは？？","お","を","ぼ","で"
"2","株式会社PPFパートナーズの設立日は？","7月17日","9月31日","4月31日","2月30日"
"3","うん〇。
〇に入るのは？


（楽器を演奏する時の指の使い方のこと）","し","こ","ち","ばぼ"
"4","アニメ「けいおん」で、
主人公たちが通う高校のモデルは何県にある？","滋賀県","京都府","大阪府","兵庫県"
"5","漫画「ハンター×ハンター」で、
主人公のゴンがネフェルピトーを倒すために、
全てを投げ出して力を得た姿のことを俗に何と言う？","ゴンさん","スーパーサイヤ人","ゴゴゴーゴ・ゴーゴゴ","ゴンさま"
"6","お湯が沸騰する温度のことを何と言う？","沸点","燃焼","濁点","湯点"
"7","プログラム言語で「for」と言えば、
基本的に何を表す？","繰り返し","条件分岐","代入","終了"
"8","アニメ「アタックNo.1」は何のスポーツを題材にしている？","バレーボール","クイズ","ラグビー","ボクシング"
"9","大阪の地名「放出」。
何と読む？","はなてん","ほうしゅつ","ほうで","はって"
"10","アニメ「魔法陣グルグル」。
主人公の少年の名前は？","ニケ","カケ","ボケ","サケ"
"10","「トイレ」と違うのは？","towel","お手洗い","御手洗","WC"
